ID,Name,URL,Identifier,Identifier Type,Creator,Origin (publisher),Publication Year,Object (resource type),Content,Methodology,Granularity,Geographical extension,Time reference,Access conditions,Terms of use
38,Tropical Nights,https://climate-adapt.eea.europa.eu/en/metadata/indicators/tropical-nights,https://doi.org/10.24381/cds.f6951a62,Digital object identifier,European Environment Agency,European Environment Agency,2021,Dataset,Tropical nights,"The data was assembled on behalf of the Copernicus Climate Change Service (C3S) based on climate projections hosted on the C3S Climate Data Store (CDS). The Index is calculated from a set of nine bias-corrected multi-model simulations from the EURO-CORDEX experiment. These simulations have a spatial resolution of 0.25° x 0.25°, a 3-hourly output, and cover scenarios RCP4.5 and RCP8.5.","NUTS0, NUTS1, NUTS2",EU27 + Iceland,1981-2010,Open - download,"Access to Copernicus Products is given for any purpose in so far as it is lawful, whereas use may include, but is not limited to: reproduction; distribution; communication to the public; adaptation, modification and combination with other data and information; or any combination of the foregoing."
39,Apparent Temperature Heatwave Days,https://climate-adapt.eea.europa.eu/en/metadata/indicators/apparent-temperature-heatwave-days,https://doi.org/10.24381/cds.9e7ca677,Digital object identifier,European Environment Agency,European Environment Agency,2019,Dataset,Heatwaves,The data was assembled on behalf of the Copernicus Climate Change Service (C3S) based on climate projections hosted on the C3S Climate Data Store (CDS). The Index data is 30-year period statistics based on a set of four bias-corrected multi-model simulations ensemble from the EURO-CORDEX experiment. These simulations have a spatial resolution of 0.1° x 0.1° and cover scenarios RCP4.5 and RCP8.5.,"NUTS0, NUTS1, NUTS2",EU27 + Iceland,1981-2010,Open - download,"Access to Copernicus Products is given for any purpose in so far as it is lawful, whereas use may include, but is not limited to: reproduction; distribution; communication to the public; adaptation, modification and combination with other data and information; or any combination of the foregoing."
40,Total emissions of cooling sector,https://www.green-cooling-initiative.org/country-data#!total-emissions/all-sectors/absolute,https://www.green-cooling-initiative.org/country-data#!total-emissions/all-sectors/absolute,Uniform Resource Locator (URL),Green Cooling Initiative,Green Cooling Initiative,2024,Dataset,Emissions,"The first method is a detailed calculation, based on sophisticated models using multiple predictors (generalised linear models and additive models). It is used for three appliance systems where sufficient data is available: split residential air conditioners, car air conditioners and domestic refrigerators. The second method is a simpler modelling approach based on ratios of RAC systems per inhabitants. This approach was used to determine the existing stock of ten additional appliance systems: self-contained air conditioners, commercial ducted splits, multi-splits, air conditioning chillers, mobile air conditioning in buses, stand-alone equipment (commercial refrigeration), condensing units (commercial refrigeration), centralised units in supermarkets, centralised industrial systems, and refrigerated transport. This calculated stock is then used to derive current and future unit sales figures and finally, to calculate the emissions and the potential to reduce emissions. The data shown here represents the best possible estimation based on the available data. Numbers from the two calculation approaches were combined and some individual appliance systems (such as rooftop ducted air conditioners, integral and condensing units in industrial refrigeration) could not be covered by either method due to a lack of accurate data. The figures may not fully reflect the actual situation in some countries. However, the results do give a general overview of emissions in the RAC subsectors. ",NUTS0,Worldwide,n/a,Open - download,n/a
41,A bottom-up estimation of heating and cooling demand in the European industry,https://irees.de/wp-content/uploads/2020/06/1-031-16_Rehfeldt.pdf,https://irees.de/wp-content/uploads/2020/06/1-031-16_Rehfeldt.pdf,Uniform Resource Locator (URL),"Matthias Rehfeldt, Clemens Rohde, Tobias Fleiter, Felipe Toro, Felix Reitze",ECEEE,2016,Other,Heating - cooling,Eurostat’s energy balance for the industrial sector are disaggregated to including process heat temperature level and end-use.,NUTS0,"EU27 plus UK, Norway, Switzerland, Iceland",n/a,Open - download,n/a
42,"Geothermal-DHC, European Research Network on Geothermal Energy in Heating and Cooling Networks",https://www.researchgate.net/profile/Christopher-Schifflechner-2/publication/362388214_Geothermal-DHC_European_Research_Network_on_Geothermal_Energy_in_Heating_and_Cooling_Networks/links/62e7911b3c0ea8788772fcb1/Geothermal-DHC-European-Research-Network-on-Geothermal-Energy-in-Heating-and-Cooling-Networks.pdf,https://www.researchgate.net/profile/Christopher-Schifflechner-2/publication/362388214_Geothermal-DHC_European_Research_Network_on_Geothermal_Energy_in_Heating_and_Cooling_Networks/links/62e7911b3c0ea8788772fcb1/Geothermal-DHC-European-Research-Network-on-Geothermal-Energy-in-Heating-and-Cooling-Networks.pdf,Uniform Resource Locator (URL),"Gregor Goetzl, Dejan Milenic, Christopher Schifflechner",Proceedings World Geothermal Congress 2020,2021,Other,District heating and cooling,The scientific focus of the network addresses the match between the different geothermal concepts and the requirements of heating (and cooling) grids from generation 2 until generation 5.,n/a,n/a,n/a,Open - download,n/a
43,An Overview of Renewable Smart District Heating and Cooling Applications with Thermal Storage in Europe ,https://www.scitepress.org/papers/2018/67857/67857.pdf,https://doi.org/10.5220/0006785703110319,Digital object identifier,"Fivos Galatoulas, Marc Frere, Christos S. Ioakimidis",Proceedings of the 7th International Conference on Smart Cities and Green ICT Systems (SMARTGREENS 2018),2019,Other,District heating and cooling,The purpose of this paper is to trace the latest advancements in existing DHC networks and to identify early smart city technologies incorporated.,NUTS0,"France, Germany, Greece, Italy, Poland, Spain, Switzerland and United Kingdom",n/a,Open - download,n/a
44,Review of the European dwelling stock and its potential for retrofit interventions using solar-assisted heating and cooling,https://dsp.tecnalia.com/handle/11556/1123,https://dsp.tecnalia.com/handle/11556/1123,Uniform Resource Locator (URL),"Elguezabal, Peru; Arregi, Beñat; Schuetz, Philipp; Gwerder, Damian; Scoccia, Rossano",Conference: Rehabend,2018,Other,Solar-assisted heating and cooling,"After identifying relevant parameters, data has been compiled from several sources, including national statistical bodies and European datasets from official and unofficial bodies, as well as previous research projects.",n/a,n/a,n/a,Open - download,n/a
45,Review of Passive Cooling Methods for Buildings,https://iopscience.iop.org/article/10.1088/1742-6596/1473/1/012054/meta,https://doi.org/10.1088/1742-6596/1473/1/012054,Digital object identifier,"Vaddin Chetan, Kori Nagaraj, Prakash S Kulkarni, Shiva Kumar Modi, and U N Kempaiah",Journal of Physics: Conference Series,2020,Other,Passive cooling,This paper aims to present a review of different types of Passive cooling technologies to reduce the cooling load on buildings.,n/a,n/a,n/a,Open - download,n/a
46,Assessment of energy savings potential and EU funding for heating and cooling,https://www.researchgate.net/publication/273133941_Assessment_of_energy_savings_potential_and_EU_funding_for_heating_and_cooling?channel=doi&linkId=54f8c6420cf210398e96ca59&showFulltext=true,http://dx.doi.org/10.13140/RG.2.1.4285.4248,Digital object identifier,"Simon Pezzutto, Wolfram Sparber, Roberto Fedrizzi",Renewable Energy World Europe Conference and Expo,2012,Other,Heating - cooling,"Data has been collected through literature research and analysed in order to assess the expected energy savings in the heating and cooling sector and, at the same time, to quantify the European Union´s funding for energy related researches and developments. ",NUTS0,"Italy, Spain, France, Germany, Greece, Portugal",1990-2020,Open - download,n/a
47,Optimization of Solar District Heating & Cooling Systems,https://aisberg.unibg.it/retrieve/bc6f95db-f7f3-4f8f-a9f2-9ea1ed54de65/Brumana_2022_J._Phys.__Conf._Ser._2385_012113.pdf,doi:10.1088/1742-6596/2385/1/012113,Digital object identifier,"G. Brumana, G. Franchini, E. Ghirardi, and S. Ravelli",ATI Annual Congress (ATI 2022),2022,Other,Solar district heating and cooling,Thermal loads are evaluated by transient simulations of a residential compound featuring 56 detached houses for three different Italian climates.,NUTS0,Italy,n/a,Open - download,n/a
48,Passive cooling techniques to improve resilience of nZEBs in Belgium,https://proceedings.open.tudelft.nl/clima2022/article/view/372,https://doi.org/10.34641/clima.2022.372,Digital object identifier,"Alanis S. Zeoli, Vincent Lemort",CLIMA 2022 The 14th REHVA HVAC World Congress,2022,Other,Passive cooling,Passive cooling techniques are investigated through a dynamic simulation of a nearly zero-energy dwelling in Belgium. Their efficiency is assessed based on their ability to improve thermal comfort. The passive cooling techniques can be combined to ensure the resilience of the building to global warming.,NUTS0,Belgium,n/a,Open - download,n/a
49,Potential study on demand side management in district heating and cooling networks with decentralized heat pumps,https://bia.unibz.it/esploro/outputs/conferenceProceeding/Potential-study-on-demand-side-management/991005772682101241,https://hdl.handle.net/10863/9681,Uniform Resource Locator (URL),"Simone Buffa, Marco Cozzini, GP Henze, Chiara Dipasquale, M Baratieri and Roberto Fedrizzi",International Sustainable Energy Conference – ISEC 2018,2018,Other,District heating and cooling,The scenarios presented herein compare a constant and a variable thermal network temperature control strategies adopted during the demand response program with a reference case.,n/a,n/a,n/a,Open - download,n/a
50,The Spectrum of Residential Cooling Demand: Modeled Demand Versus Occupants’ Real-life Needs,https://c2e2.unepccc.org/wp-content/uploads/sites/3/2021/06/491-the-spectrum-of-residential-cooling-demand-modeled-demand-versus-occupants-real-life-needs.pdf,https://c2e2.unepccc.org/wp-content/uploads/sites/3/2021/06/491-the-spectrum-of-residential-cooling-demand-modeled-demand-versus-occupants-real-life-needs.pdf,Uniform Resource Locator (URL),"J. Mittermüller1, F. Banihashemi",BEHAVE 2020 6th European Conference on Behaviour and Energy Efficiency,2020,Other,Residential cooling,The present study introduces a bottom-up methodology and combines household-survey and thermal building simulation results in order to identify possible strategies to improve the thermal comfort while at the same time reducing or even avoiding the energy demand for active cooling.,n/a,n/a,n/a,Open - download,n/a
